anio,Equipment,n_hombres,total_medio_m,total_p50_m,peso_medio_m,dots_medio_m,fuerza_rel_media_m,fuerza_rel_p50_m
2021,Wraps,11267,607.0489,605.0,97.8559,382.7191,6.2911,6.2922
2022,Multi-ply,662,758.9815,756.25,104.5224,463.865,7.3525,7.3384
2022,Raw,68843,546.8949,547.5,89.4514,360.9261,6.2139,6.2291
2022,Single-ply,33279,475.1728,464.93,87.1743,323.2814,5.6289,5.5291
2022,Unlimited,170,846.2533,845.95,105.4233,517.3215,8.1824,8.1942
2022,Wraps,11122,600.3987,600.0,97.6678,379.0764,6.2369,6.2402
2023,Multi-ply,689,755.7922,755.0,104.2775,462.6398,7.3275,7.3456
2023,Raw,84442,548.1643,547.5,88.7652,363.1905,6.2744,6.2927
2023,Single-ply,4342,598.9711,597.5,90.1045,396.2789,6.7879,6.7326
2023,Unlimited,34918,464.8747,458.13,86.5833,318.4842,5.5696,5.4996
2023,Wraps,11253,592.9087,590.0,96.8873,375.6525,6.2028,6.2086
2024,Multi-ply,668,781.1803,777.5,107.9327,470.0623,7.3037,7.3302
2024,Raw,89946,550.2241,550.0,89.2289,363.8359,6.2712,6.3059
2024,Single-ply,4991,591.9506,582.5,89.4855,392.9395,6.7463,6.7086
2024,Unlimited,33943,474.6601,467.2,86.5213,325.1152,5.6869,5.5873
2024,Wraps,9520,596.568,591.94,96.9966,378.2021,6.2455,6.2344
2025,Multi-ply,548,764.213,777.91,103.9637,467.582,7.4352,7.5858
2025,Raw,87802,553.5713,555.0,89.5344,365.4399,6.2895,6.3303
2025,Single-ply,4883,594.6924,587.5,89.9217,394.0174,6.7558,6.6769
2025,Unlimited,32810,477.1254,469.47,87.0185,325.8186,5.6833,5.5799
2025,Wraps,8698,601.8853,600.0,97.5338,380.5589,6.2676,6.2728
2026,Multi-ply,230,782.7904,796.25,105.4499,476.171,7.5161,7.4338
2026,Raw,54496,533.3902,537.5,89.3515,352.979,6.0772,6.1257
2026,Single-ply,2698,588.512,585.13,89.6743,390.7466,6.697,6.6982
2026,Unlimited,28255,479.6281,474.0,86.3774,328.869,5.7543,5.6571
2026,Wraps,3923,592.0752,592.5,97.2907,374.0872,6.1653,6.1664
